23428,-2664.11219410078,1718.4700752465722
46455,-2623.6097626526634,1743.190049542416
68911,-2684.478277051452,1605.960052871578
92603,-467.4395308804768,1059.570256495688
117682,-408.6046790717776,1613.689725435646
142081,-616.6258288958479,1312.8726458337771
166394,-442.0089809740164,1324.504353754755
192430,1180.0856265280354,2154.9176885092847
218502,1047.2414509969176,2526.7407676561616
246046,2354.090128895208,2373.3952028616764
291426,16876.59854864604,9271.12268150384
345653,26236.69070017652,18081.460943856568
424315,47094.85655541267,43531.121370236346
719975,292215.3026552063,125477.0719819395
1045192,406466.7115564065,141383.76971466374
1405292,534871.0950478591,14070.101802608839
1765392,534233.9932018467,69295.29987586552
