22924,-1167.7626450377452,1004.3898100445275
45571,-869.1826209936219,881.7363569977966
68400,-498.1366242258809,586.7527589410622
92328,-290.0067244137539,1152.825713497408
116951,760.1331454186486,1159.3320036681553
141872,937.5535016682431,1282.6534723959373
168801,2681.1419484190656,2241.4207217775092
195973,3013.8570441139254,1643.63184517675
225104,4620.528110606262,2014.5979894481163
254416,4760.149935671454,4180.30041934463
293721,13053.186160420104,8639.215027153134
323599,5793.671552945278,7944.387392820094
371613,19956.890688088457,18457.09026032139
418233,19296.545902938302,14179.646766787495
500392,48620.03816417952,38129.26030675438
593897,58513.0273715228,43281.06615033687
686840,58115.87676277892,43643.613553602016
862754,142876.5349314098,141242.43715938836
1146069,293749.42211870657,151841.10028955434
1479033,400984.22164557374,120192.32292690035
1825438,458139.42573065317,94373.41505871087
2174649,495042.3896705934,92517.29803267229
2531144,534472.0668592895,61567.09853716813
2878960,543784.940829945,109295.31432790309
3239060,598181.9768214924,10801.198721076054
3599160,617978.1316283911,7557.762927730061
3959260,633423.9031307942,3213.9139300083207
